"usernames2","titles2","dates2","reviews2","ratings2"
"Otte1","Enjoyment of movie depends of if you are a fanboy(girl) or not.","11 May 2018","The rating of 10 are obviously people under the age of 18 or extreme fans of Marvel. This is not even the best Marvel movie this year(Black Panther had better story & drama), definitely nowhere near 'best superhero movie ever'. The action and special effects are very well done, the pacing, powers and 'decisions' are on par with a B-horror movie. When having the ability to end a scene quickly or leave a scene quickly, our 'heroes' would stand there and trade one-liners. I seriously considered walking out at the lack of competence. For the record, I loved Avengers, loved Winter Soldier so it is not like I cannot enjoy a superhero flick. This one is not(unless you are a fanboy(girl).","3"
"georgewilliamnoble","4DX Seat To Infinity!","3 May 2018","Sometimes in this life there are things beyond criticism, the Mona Liza for example or Turners rain steam and speed or Chaplin in The Kid. Masterpieces all, no debate right? Then there are products is one soap powder really better than this other, or a $1000 perfume can it really be better say than one at a mere $10, beauty they say is in the eye of the beholder! So they say. Then there is this new mega movie Avengers Infinity War, now i would take issue with anyone that this is actually a movie at all, it is a consumer product the must see/ have accessory for the moment, Pre-sold, Pre-packaged to a ready made audience desperate to spend their money, it is just another fashionable element in today's throw away age. Telephones i believe are sold this way, at least this is how i see the commercial world of now. Now, i know my views are in total opposition to the frankly ridiculous high score's on this web site, and please don't think i am not grateful, my local multiplex needs big profit films to survive and hopefully prosper so the likes of me can see proper films that are real cinematic experiences but make next to no money, usually that's the fate of most superior films these day's! Can i be positive in any way about this Marvel, well i saw it in 4DX & 3D, the chair swam and jolted, there were lights, flashes, and sprays or did i imagine the last one, oh yes, the sound was loud, very very loud. and Oh yes do not forget, it is extremely long, very very long, like a bad flight across the Atlantic but without the benefits of a helpful service attendant's tray. Did i enjoy it? in any way, well no, just too much of a good thing, i like sugar in my tea, but 32 spoons is to much! This i will call it for ease, a film, it just had too much of everything. Now, i can just imagine steam boiling over from most readers that i am clearly to old and out of touch, but i argue not so, the trailer for Deadpool 2 was so funny and inventive that i am eagerly awaiting this release. As for all these many many super hero's to numerous to remember and to numerous to mention, i do have a question for superhero's obviously adoring public the question is, are the comic books any better?","10"
"nodlimax","To long - to many characters - lacks focus - boring","28 April 2018","This movie has various problems and the first major one is the lack of focus. We keep jumping around to various places and I can't even keep where all of them were.

One moment, we are on earth, the next on Knowhere, the next on some other planet to which I can't even remember the name. And it's not just the places, it's the characters too. There isn't one lead or even 5 lead characters we can somewhat focus on. They try to focus on everybody which means nobody is the actual lead character. There was another movie that was initially praised but in the end was heavily critizised for lacking focus on a real main character - that was Star Wars The Phantom Menace. I see the same problem in this regard here with the story.

Due to the lack of focus the movie also has pacing issues and therefore to me felt boring. And then this goes on for 150 minutes. And the biggest problem at the end of the movie is that there is no payoff....

...ok stop, I have to correct myself there. The payoff (here comes the spoiler) is, that the bad guy wins. Everything the heroes tried to do failed and you know what I was actually kinda rooting for Thanos, because I couldn't care enough about any of the other characters. He became the protagonist for me, which makes me feel terrible as well, because he kills half the population in the universe.

In the end I was just happy that the movie was over. However the writers put themselfes in a corner. Thanos is pretty much god at this point and objectively speaking there is no way anyone could defeat him at this point except if they go for something like ""his glove lost the power after he used it"" which is cheap. That will then result in the heroes trying to get back the time stone and then turning back time or something similar stupid.

I will not see the next one in cinema. At this point I am pretty much done with superhero movies. I guess I can thank Disney now for first pushing me away from Star Wars and now Marvel.

The effects and sound were decent though.","9"
"hawkins_saints_rock","Everything we could've hoped for","25 April 2018","Oh. My. God. What an incredible film! I've never done a review of a movie before, I've only done TV shows. So bare with me, I'm gonna discuss the major points and chuck in a theory or two. But to start off...

Wow. This film could be the best Marvel movie ever! But I will give it a few days to digest and probably a second viewing before deciding on that. It absolutely lived up to the 10 year build up since Iron Man 1, how far we've come in a quick 10 years is remarkable.

The Thanos character absolutely hit the mark. He was menacing, intimidating, vicious and so much more. Props to the actor who played him. Thanos' plan succeeds (for the time being) and we get a whole lot of ""death"" because of it. In this movie there was death, and ""death"". The former refers to characters such as Loki, Vision and Gamora. We saw these characters die and there bodies be left behind. For this movie not to lose credibility, these characters, in my opinion, must remain dead. Now ""death"" refers to what we saw at the end, Thanos, with all infinity stones, clicked his fingers and half of humanity, including half of the avengers (important to note that all the original avengers are still alive) dissolved into dust giving the impression of death. I expect these characters to come back at some point during the next Avengers film, most likely due to the originals saving them.

My final theory regards Doctor Strange. On the ship with Stark and Spidey, Strange said that if it came to it he would save his stone over Stark and Spidey's lives. However, in the end we see Strange give up the stone to Thanos on the condition Stark stay alive. My prediction is that when Strange saw all the possible futures, the only future in which they win must heavily rely on Tony Stark. Which makes sense, Tony started it all so he should finish it.

Incredible film, can't wait for the next one to see how it all resolves.

9.8/10","9"
"eden-rabatsch","Great popcorn film, surprises the series with fresh takes","25 April 2018","Well, Well, Well....

I was so ready to tear this down - 19th MCU film, too many stars, bloated CGI, first of a two parter, and so on and so on...

Yet, this is so much fun. Pure popcorn...now in the dictionary under ""popcorn film"" is just the poster for this film. Somehow, the Russo Brothers have juggled all the parts to give everyone some time in the sun. They are helped immensely by two things: the premise is so pure Mcguffin that you just watch Thanos look for Infinity Stones which gives a primal momentum and that the film's stars/characters are looking to move on - that means, actual stakes for once as people could really die and not just comic book dying either.

The DC people must be kicking themselves. The lightness and comedic touches are brilliant. You are laughing out loud, comedy level, but at totally organic character humour. It means you are so entertained throughout its rather long running time.

The other big surprise is Thanos himself. Normally, I hate CGI characters but somehow they have made Thanos and Josh Brolin work enough to give the character an actual arc. This is one of the better MCU villains and I never thought I would write that.

The stakes are real, the charisma levels are amazing, it is like ""Oceans 28"" and I can't wait for the sequel...that says an enormous amount considering the challenges this film faced.","9"
"numenorsniper-66396","Marvel's best","25 November 2021","I saw Iron Man in the cinema when it first released in 2008, and still remember it being ground-breaking and awesome. Since then I kind of lost interest in Marvel movies in general, as their quality was very variable, with a few gems here and there. Ultimately in hindsight, the MCU is a really fun and generally well-made series of movies, with the persistent flaw of deflated stakes, contradicting rules and muddled plot points. Not quite brainless entertainment per se, but sometimes feels like that.

Avengers Infinity War reignited my interest in the MCU, as the movie itself was really well done in pretty much every way. It's genuinely a very strong movie, that is deeply rewatchable, and one of the best Space movies ever made.","1"
"r96sk","An outstanding watch","23 January 2021","This is exactly the sorta thing I want from an Avengers film! Full blown, no punches pulled action. In that regard, it's an outstanding watch!

Despite knowing practically little about the MCU up until a few weeks ago, I still knew this was a film that was going to see - so to speak - excrement hit the fan... and boy did it! It's a great ride.

Like 'Captain America: Civil War' did, 'Avengers: Infinity War' does an incredible job at juggling the gargantuan number of characters. It's ridiculous, but totally awesome, how many faces we see appear again. I thought they got the screen time for all, more or less, down to a T. Not an easy job, that.

Speaking of the cast, it's Robert Downey Jr., Chris Hemsworth and Josh Brolin who stand out most in my memory. Them three are excellent, especially the latter. Away from those lot, it's very cool to see all the other worlds - including from 'Doctor Strange' and 'Guardians of the Galaxy' - come together into one film. As for new additions, there aren't many - Peter Dinklage being the pick.

There are many references that I had already become aware of just via the internet, so it was quite amusing seeing them all unfold here and there. The effects looked great to me, as they have basically all the way up until this point of the MCU. The comedy is good again, also.

Needless to say, I can't wait to see 'Avengers: Endgame'!","4"
"UltraMaximal","10 years of insipid","6 May 2018","Keep in mind that just because s movie makes billions, that does not make it a good movie. Like most of Marvel movies this is an insipid mess. The entire plot took 10 years to develop and is summed up in this latest entry in 4 or 5 sentences. Acting isn't necessary or required, just grimace and look sweaty and vacant. Meanwhile we'll fill the screen with 50,000 CGI lights and explosions and convince you what is happening matters. Well it doesn't.","1"
"Lursa","Plot Holes, Jumbled Action Sequences, & A Big Let Down, Oh My!","6 May 2018","SPOILER ALERT!! I am a Marvel Chick. I totally dig the whole Marvel Verse and wave my 'fangirl flag' proudly. I was looking forward to this movie so much...then something happened. I went to see it today. I did not read any of the reviews before I went. I never do. I always view a film without input from folk that usually don't know what I like. So there I was, popcorn and coke in hand. Two rows back from the screen ('cause I'm into total immersion, okay) in my reclining seat.

Ten minutes in and I know we're in trouble. It's not the fact that two of my favorite characters didn't survive the opening credits. This is Infinity War, right? People are gonna die. It's just seemed so pointless. Loki dies but Thor survives? How is that fair? Hemdall dies saving Hulk of all people?? Not that I'm hatin' on Hulk...but come on, Hemdall! You have sworn an oath to the 'Thone of Asgard' and you don't save EITHER of the princes? Really?? I know Hulk is refusing to 'come out' after Thanos kicks his butt that no one ever has before but still...

The movie goes rapidly downhill from here. Thanos and his twisted cult of psychopaths got on my nerves early and they danced all over them until the end of the film. We bounce all over the world (and off it) to keep Thanos away from the Infinity stones. Who decided that two of the most important stones be 'hidden' on earth? Not a good idea.

Our Merry Band of Marvel Heroes needs to take a page out of the Star Trek verse. 'The needs of the many out weigh the needs of the few or the one.' This could have saved SO many lives. Loki gives Thanos the Tesseract to save Thor. Thanos tried to kill them all anyway. Actually succeeds in killing both Loki, Hemdall and all of the Asgardians. Thanos sacrifices Gamora, the daughter he loves. (Thanos has a really weird idea of what love entails...but whatever) He does this so he can gain access to the Soul Stone. Dr. Strange gives Thanos the Time Stone to save Tony Stark. (Tony Stark? Wasn't his expiration date up like a couple years ago?? ) This gives Thanos the power to turn back time whenever he wants. Which he does after Scarlett Witch kills Vision (her lover) to destroy the Mind Stone. He just turns back time. Rips the stone out of Vision's head and heads off to wipe out life as we know it. So Scarlett Witch went through all that gut wrenching heartache for nothing.

This could have been a good movie. Maybe even a great one but it's not. It's a mishmash of the worst parts of just about every Marvel movie over the past 10 years. There are a few notable omissions. Most of the gang is on deck but they're so ineffective. They rehash the same differences they had in their other movies showing little or no growth or development aside from the superficial 'romantic' themes. I get that Pepper and Tony are an item. We knew this already. I get that Black Widow and Bruce are an item. We knew this two movies ago. Same with Gamora and Peter, Scarlett Witch and Vision. and on and on and on. This is supposed to make their loss more poignant but it doesn't. The fight sequence in Wakanda and on Thanos home planet were so predictable. Such a waste of excellent CGI and actors.

The only surprise in the movie is who survives. Thor, Tony Stark, and Steve Rogers survive. I know this is to set up the next part of the Infinity War set that is scheduled to hit theaters later this year. The Russo boys need to step up their game. This disappointment does not bode well for the new film. Guys. sometimes too much of a good thing is a bad thing. Just FYI. You just know that someone is going to get hold of the time stone and turn back time so we can blah, blah, blah. Been there, done that.

I really wanted to love this movie. I really, really did. But I left the theater feeling used and not in a good way. I felt like Marvel turned up the manipulation meter to eleven. Because, you know it's eleven which is one more than ten, right?

I rated the movie a '4' because I wanted it to be good. It just wasn't.","7"
"maclock","A snore -- literally","28 April 2018","This film was complete and utter tosh. Judging by the way it has been positively reviewed by some other IMDB members, I cannot help but wonder if we watched the same movie. I fell asleep repeatedly during the opening night screening in my city and I lost most interest in it after 90 minutes or so. (The run time was much too long.) While I've enjoyed quite a few of these Marvel big-screen productions in recent years, I didn't enjoy this one very much at all. Unless you're a comic book fan, I'd take a pass on this one.","9"
"patsworld","No Spoiler Alert -But HATED The Ending","10 May 2018","Okay, plenty of action, lots of humor, excitement galore...so why the 1 rating from me? Because, and I'm not telling you one word about how it ends, this has to be the WORST way to end a movie I've ever seen...and wished I hadn't. The heck with it. Guess who won't be lined up to see how the next one goes? That would be ME 'cause frankly, at this point, I don't care.","2"
"Orhan_Akdeniz","has a great finale","30 March 2021","My favorite part of the movie was the finale. I do not explain in order not to give Spolier. But it's not just an ordinary finale. I think the Thanos character is good.","1"
"Prismark10","The Marvel punch","3 May 2018","When I was a kid just after watching Superman II that one day there will be a film that will have in it, Batman, Superman, Wonder Woman as well as other DC Comics superheroes but it will knocked out of the park by a Marvel film starring the Hulk, Spiderman, Thor, Iron Man and others I would had not believed you. Heck Black Panther did twice more business in the US box office than the Justice League film.

Usually villains in superhero films want power just to destroy everything. Thanos the villain wants to bring chaos and destroy what seems half the population of the worlds in order to bring a new order of peace and prosperity. No more starving kids scavenging for food. It is a Nazi way of thinking, we get people in social media platforms who go on about how we need to control the population growth to save the planet. So reduce the population in Africa, in Asia in the Middle East. You know find a way to get rid of those black and brown people! Well Stan Lee who created a lot of the Marvel characters is Jewish and knew about the perils of this Nazi way of thinking.

Thanos wants his infinity stones to get ultimate power. You might think he has never loved something or anyone but he need to make sacrifices himself. His quest for the stones sees him battling Thor at the start of the film. Along the way their are casualties which leaves you wondering what will happen to those individual Marvel films in the future.

The Russo Brothers have certainly made a film where the various characters from the Marvel universe coming together feel natural and organic. Just look as to how well the Guardians of the Galaxy characters gel with Thor or Tony Stark.

They also have made the film so well paced although the running time is a tad overlong. It starts with action scenes and the action scenes crop up in this film relentlessly but we also get humour and brief character moments but always you know this is a comic book adaptation.","1"
"gcarpiceci","Heavy Indigestion","2 May 2018","Sometimes when you cook a dish for your guests, you think that you'll make it more tasteful if you keep adding ingredients over ingredients; so, you have made this nice pizza, you have put your tomato sauce, your mozzarella cheese, maybe some ham, then you think why not some mushrooms, and well peppers will be just perfect on top it, and don't forget olives and cappers, hey we have some sausage in the fridge just slam it on top of it....etc. Most likely your guests will spend the night wrestling with your heavy-loaded pizza, trying to digest it. Well, that is how I feel after watching Avengers - Infinity War; it's not by cramming piles of different super-heroes into one single movie that you make a great movie. It just results in a huge loss of focus and in the inability to pull together a cohesive story as you have to make space for this crowd of stars. Note that I'm not even complaining about the ordeal of CGI: they have by now become a commodity in contemporary movies and not even only sci-fi, so their abuse in this case was in the expectations. But geeez, the plot....the plot is so thin that one might claim there is not one; just an infinite series of punches, hand-fights, bang-bang, etc... So I'll go now, I have some work to do tonight to try and digest this nuclear pizza....","6"
"TheSeaLion","""Avengers: Infinity War"" is dishonest, idiotic, and simply awful in almost every aspect of its handling.","1 May 2018","While all of the heroes from across the Marvel cinematic universe united in a joint effort to stop Thanos, so too did all of the problems you can think of unite in a joint effort to bring down ""Infinity War.""

It should be noted that I am not the biggest fan of the Marvel Cinematic Universe. For the most part, I find the movies to be passable while there are a few I have really liked, such as ""Black Panther"" and ""Captain America: The Winter Soldier,"" and some I have despised, such as ""Iron Man 2"" and ""The Avengers."" ""Infinity War"" could have fallen anywhere on the spectrum for me, and unfortunately, it fell at the way-down low side as the second worst movie in the entire franchise.

The opening scene of the movie is the perfect setup for what is wrong with ""Avengers: Infinity War."" Thanos (Josh Brolin) is attacking an Asgardian ship with all of the main characters from ""Thor: Ragnarok"" on it. Thanos has killed everyone aboard, except for the few characters necessary to help keep the plot moving. Heimdall (Idris Elba) is left wounded so that he can be killed off by Thanos on screen after using his powers to send Hulk (Bruce Banner) to Earth in an effort to warn the Avengers. It is supposed to be an emotional death scene, but the laziness of the writing and the showcasing of character stupidity for the purpose of plot progression is all too evident. Why didn't Thanos just kill Heimdall during the attack on the ship like he did with everyone else on board? It's simple: the plot would not be able to continue if he had done that.

Character stupidity is at an all time high in ""Avengers: Infinity War,"" and it is not just restricted to Thanos. There is a lack of communication between characters for no reason other than for the movie to happen, and Star Lord (Chris Pratt) goes so far as to screw everything up in what is easily the worst written scene in the entire movie.

The stupidity of the characters can all be attributed to an awfully written script. So much of the dialogue in the movie is the Marvel quips, but a lot of it comes in the form of characters throwing personal jabs at one another to the point of wondering why these heroes can't set aside their differences and not be annoying for even five minutes in order to stop a villain who wants to wipe out half of the universe's population.

Yep, that's right. Thanos' goal is to wipe out half of the population of the entire universe. One complaint that people have had with Marvel is how safe their characters all feel. So, Thanos killing off half the population would seem like it was putting their characters in danger, right? Wrong. All of the characters who are killed by Thanos are the characters who had already overstayed their welcome in the franchise or do not feel permanent because, let's be honest, they are needed for future installments to the Marvel universe. It is ironic that the movie that seemingly takes the most risks is the movie that played things the safest.

Even if these deaths did feel like a risk, it would not really matter. With so many characters to focus on, the movie has almost no time for character arcs (which is fine) and instead must show its characters through their speech and actions. However, so many of these characters act so annoying or stupid that you are just wishing for them to be killed off, and then the characters who are killed at the end by Thanos destroying half the population lacks any emotional weight because after nearly three hours of unbearable characters and dialogue, it is just a relief that the movie is almost over.

The two things that ""Infinity War"" did well was not making the story feel jumbled and clustered with all of the characters, and they did do a good job with the characters of Scarlet Witch (Elizabeth Olson) and Vision (Paul Bettany), but that is it. When it comes to everything else, the movie falls prey to a term film critic Roger Ebert used, which is 'idiot plot.'

Idiot plot means that the only way for the plot to happen is for the characters to act like idiots, which I already went into a little bit to explain how even the smartest of characters have to act like morons in this movie for the plot to progress, but the entire plot of the movie is an idiot plot as well. Thanos' plan to wipe out half of the population only makes sense to the point of his backstory. In execution, it is a plan that falls apart and becomes dumber the more you think about it. This might be, though, because the movie tries to paint Thanos and his plan off as having depth to it, but this sort of plan would only make sense and work for a generic super hero villain who just wants to destroy the world because he is evil. So, with a villain with faux-depth and an evil plan that would only work for a generic super villain character, the overall plot of the movie is a dumb villain scheme that has awful juxtaposition to it.

""Infinity War,"" to put it simply, is just awful. Nothing more, nothing less. And for a movie this big that had a decade of hype and buildup and planning, that is just sad.","6"
"phoenixinvictus","Worst Marvel Movie Ever With a Huge (or tiny) Plot Hole","6 August 2018","I can almost guess how the sequel is going to go... they are going to use some ridiculous time travel trick to undo all of Thanos damage. This two and a half hour movie was nothing more than a ten minute cameo for each actor to fight some alien. The HUGE plot hole in this movie is Thanos ""plan"" and Ant-Man's mysterious absence in this movie. Let's see how absurd the plot hole of this movie is... Thanos' master plan is to wipe out half the population of the Universe because according to him there aren't enough resources for us all. Have you seen the size of the Universe??? The resources are almost endless! The Universe is a BIG place people! How can anyone not point that out to him? With his magic gauntlet complete he can just ""magic"" all the resources he wants with the snap of his fingers. Duh! But that is not all... Ant-Man possesses the technology to END WORLD HUNGER!!! All he needs to do is supersize ""a steak"" to the size of a ""truck"" and presto you can feed an entire city for weeks. Right there is the weapon to end Thanos' dumb logic. Almost right in the beginning of the movie Thanos kills off the Asgardians on the ship, except for the main characters because... well just because we'll dump logic out of window and not bother the audience. Thanos then kills Loki-for REAL this time. Let me please have a moment to laugh out loud ha ha ha ha ha ha ha HA HA HA HA HA! Even if Loki is really dead this time I cannot feel anything but amusement at this ridiculous death for he has died so many times that I have lost count! Why should I feel sorry for a guy who wanted humans to worship him as a living god? Wasn't this the guy who literally placed his father in an old folks home to rot away? Wasn't he the one responsible for starting a war of genocide? Wasn't he the one who was responsible for the death of tens of thousands of people and caused the near destruction of New York City? Wasn't he the one who caused the invasion of New York City by aliens? Let's face facts! Nearly every Marvel character has died and been brought back to life that it actually is getting boring! Heimdall who is wounded uses the last of his powers to transport Hulk\Bruce Banner to Earth in an effort to warn the Avengers instead of-I don't know- beaming the tesseract away from Thanos. How about sending it to the edge of the Universe? It's not like he has a locating beacon to find these things. Gamora wants to stay away from Thanos because she knows something that he wants and makes Star Lord promise her he will kill her (yeah right). Gamora then does the very thing she said she wouldn't do and runs directly to Thanos to engages him in battle where we all know that she will lose. Aliens attack New York again. What an unlucky city. Doctor Strange is abducted and Wong doesn't seem to care that his friend is in danger and returns home... Really Wong, I'm so disappointed with you! Why doesn't he open up a portal to rescue his BFF? I know that Doctor Strange wouldn't have abandoned him... of course there is the fact that Wong's ten minutes were up and the studio couldn't afford him. Okay Wong I forgive you. Doctor Strange doesn't use his magic gem to turn back time and ""bargain"" with Thanos. Why doesn't he do it? With the help of Iron Man, Doctor Strange, Spiderman and Star Lord they hatch up a ""plan"" to remove the magic gauntlet off Thanos rather than just cut off the guy's arm off! Star Lord being the screw up that he is screws up the entire plan. Doctor Strange simply gives up the time gem because it's the only way to prolong this agonizing movie for another hour! Why didn't I just stop watching this movie? Captain America who is a fugitive is suddenly pardoned because he is just so darn good looking and awesome in his costume. Vision says that he won't trade a life for a life but there were so many lives lost during the battle to remove the stone from his head. Wakanda is invaded and the Hulk refuses to come out of the closet... So why was he saved and not someone else? Does anyone care? Why didn't Wong and his friends appear in the final battle and lock the evil alien army into the ""mirror dimension""? I'm just saying... Everyone dies and we all know that they aren't going to stay that way. These movies get worse and worse each year.","10"
"stevelomas-69401","It's odd how dull a film stuffed with action can be.","4 December 2018","I wanted so much to like this film but for me it came out as too knowing, self referential and repetitively dull. Mark Ruffalo seems to have changed his character for the worst, Chris Prat/The Guardians of the Galaxy are beyond annoying and several others are badly under used. Also for me Thanos was too human.","5"
"pete-murphy97","Bordering on a comedy, ""Infinity War"" is overhyped, lacked direction, but at times impressed","3 May 2018","""Avengers: Infinity War"" may well have hit the consumer sweet spot formula: the all-important kiss to boost the box office, heavy emphasis on comedy, loads of explosions, and a story that enthralls above all else. That being said, this latest installment plays it safe and rode on a long hype train spanning back over a year - Infinity War opts for the tried and true with the odd tweak thrown in, it's ambition is to be an amusing superhero popcorn flick, nothing more, nothing less; and on that count - it perhaps succeeds.

Not really accessible to new viewers of the franchise.

Infinity War is not for the entry-level viewer (if you want to fully understand it, at least) - lacking accessibility, it offers little explanation of the prior plot to the newly introduced - 31 movies have led up to this in one way or another: to an all-out fight for control of the most powerful items in existence, the infinity stones. Infinity War assumes you haven't been living under a rock and have seen (at least some of) the previous movies, to some viewers this will be a deal-breaker. So, for those reading who have no prior investment in the universe and its characters - this may be a disappointing watch. To those who have seen previous films, it still may be disappointing - the story is nothing to shout about.

Great CGI.

No, really, I will praise the special effects. Staggering stuff, and no doubt what helped make it one of the most expensive films of all time to produce.

Too many characters.

The Russo brothers were tasked the impossible job of covering a very broad cast of some 35 characters to the best of their ability within the 2 hours and 40 minutes run time, and to say the least, they were stretched thin. For the average fans, more characters is a major selling point - to those more concerned with the fluidity of the film-making and storytelling, it didn't work. The story felt somewhat fragmented as the plot's focal point kept shifting to accommodate the sheer number of characters.

It bordered on a comedy.

For some that's okay, in a film that is meant to be a culmination, the big showdown of epic proportions - I was surprised how dependent on comedy it was. I would have liked more story-building dialogue and character development instead. It didn't match the vibe of stopping a dude (Thanos) that could potentially kill trillions of people. While some of the slapstick humor was welcome, at times it went too far, it felt as if it didn't work alongside the serious scenes and situations that it often tried to segue into seamlessly - to no avail.

Geared towards a younger audience.

As a heads up, this movie without a doubt is meant to appeal towards Marvel's biggest target market - kids and early adolescents.

It makes little to no provision for those into well-written, sophisticated plotlines that transcend shooty guns and big explosions. Most of us have outgrown the cliches.

Poor ending.

Most of the audience remained seated in the cinema expecting some closure, but the credits just kept rolling.

A poor cliffhanger ending that just tries to sell the next film.

Overall 6.4/10","4"
"michael-51218","So good","30 January 2021","Watched all the movies again since on lockdown. Read some of the other reveiws why would you see this movie with out watching the previous ones.","1"
"AGood","Did not like this.","4 May 2018","This film was literally 2 and a half hours of non stop roller coaster action. This may sound like the perfect movie. But just think of this for a moment.

The film was literally;

Villian comes on the scene, whichever avengers is around flies or runs at them. Gets bounced back. Flies again, gets bounced back, flies again gets bounced back, flies again gets bounced back.

Then an escape happens, as the villian always gets what he come for as even his minions are way too powerful for every single avenger in the film. Cue literally 2mins of wisecracking and jokes. Next scene cuts eslewhere, villian comes on the scene, avenger flies or runs at them, gets bounced back, then 2 more mins of wisecracking and jokes..... for 2 and a half hours.

The diaglogue is minimal in the extreme. Possibly only 200 or so words get said in total throughout the whole 2 and a half hour movie. Almost all of it is just filler wisecracking jokes.

Watching this movie honestly felt like watching someone else play a video game, with the 2min cut scenes kept in.

I don't know if I am getting old, or if it was just this film but I did not enjoy this. I loved black panther that I seen a month ago. But also hated Justice Leage so am not sure. I get the feeling kids will love this and think it the most epic thing they have ever seen. But parents will be bored. A movie needs to be more than just this.","3"
"bertler-1","Bang boom bang for the simple minded...","30 April 2018","Will any 14 year old Marvelfan will love this flick? OF COURSE! Will any real moviefan will hate this flick? OF COURSE!

A rating round 9 at IMDB for this brainless effects-overkill is a hit in the face to movie histoty!","2"
"mitrapourmand","Worst MCU movie ever .","14 May 2018","We all know that these movies are blockbusters , we know that we should not expect much , when someone sits through one of these he /she should not expect citizen Kane , or the seventh seal , these movies are almost always mindless action scenes and big bangs and boom ( throw in a few punch line and some lame one liners and voila you have have your self an action movie ) but , at the same time these movies must be compared with other movies of the same genre , even the same universe to see pros and cons and for this i like to review it based on two of my favorite MCU movies. Winter soldier and Ragnarok , one being very serious the other choosing a very light and sarcastic approach ( almost parody like ) for their subjects , both i think did a far better job than this . As infinity war stumbles between being dark and fun and ends up tedious and stupid , characters do stuff which makes zero sense Heimadall can see all but he could not see Thanoses big ass ship ? Loki is holding the stone and he sends Hulk to earth ? Thanos acquires all the stones , becomes the most powerful being in the universe but has to kill people to save the universe ? cant he.. i don't know make the resources infinite and be everyone's hero ? If no , then why did it take him this long to act upon his plans ? Heroes run head on towards the bad guys LOTR style ? Its the 21 century guys humans don't fight that way you know , Thor has the power of lightening and thunder but needs an axe ? then why didn't he just chop off Thanoses head ? And the most important question , who invented these stones and don't they have something to say about how these things are used ? You see this is what makes a movie this big this bad . And since we are sure that the people who died are bound to be revived again ( don't bring visions back that guy is a nightmare ) there is no sense of tragedy or loss just a very lame move to pull on our heart strings .","5"
"andrew-hill515","So bored of these movies","9 June 2018","If you're totally into the movies about super people punching each other, it's probably fine. If you're bored by these movies, this one won't convert you. Not sure how long it is, but it felt like 9 hours.","2"
"fcabanski","Call it Lamevengers SJW Wars","20 October 2018","The writing was on the wall with an early fight between Thanos and Hulk. OK, Thanos is all powerful, but he beats Hulk with a few punches and knees. At least make the fight big.

The writing got worse when the Guardians of the SJW Galaxy took the screen - cardboard characters wisecracking their way through vacant scenes.

In fact, that's most of the movie. Most of the men act like 12 year old boys, arguing at the drop of a hat. That's supposed to be Stark's gimmick, but most of the heroes (males) act that way. There's no difference between Stark, Peter Parker or even Dr. Strange or even his Buddhist buddy.

Most of the dialogue is banter. Mostly the so called actors pose their way through scenes. The fight scenes are so CGI and camera movement heavy that it's impossible to tell what's happening.

The movie made a lot of money - a lot of people love the Emperor's new suit.","9"
"realmuthaf","Infinite Mediocrity","6 May 2018","Infinity War is the same predictable mediocre flick for children as usual, only one that's too big for its own good.

The previous team-up movies had a generic structure: some unmenacing bad guy arrives so the heroes have to unite - the heroes do unite, but the bad guy seems to take the upper hand - the heroes regroup and defeat the bad guy. Since IW was planned as two movies (more movies = more cash, not like there's some story to be told here), the structure is split between them, so the first one ends with the heroes seemingly defeated. But since we know that a sequel releases literally next year, the many character deaths feel cheap and pointless, kind of like that of Superman in BvS. And there are way too many heroes to give everyone proper screen time and things to do anyway.

There's literally nothing to see here apart from these forced deaths - there's no original plot involved, it's just another CGI purple Homer Simpson lookalike who wants to kill everyone ""for balance"" with added amounts of forced drama and tedious dialogues. He also has some CGI minions that look like early-2000's video game villains, but I don't think those were even named. Also the film's largest battle is that between some CGI 4-armed monkeys and an African tribe armed with spears. Yeah.

Also, still remember Thor Ragnarok? You know, the one which was mostly pointless as usual, but it did have Thor lose his hammer and eye? Well now it's completely pointless as he has both back. Just like IW will become pointless next year when the follow-up comes around.

I quite liked the first two Avengers movies, and while the third one (Civil War) was already slightly overstuffed, it was still serviceable. This, however, just continues the downward trend of movies like Guardians 2 and Thor 3.","10"
"rk911","Waste of Time","13 May 2018","Marvel seems to be on a roll towards killing off this franchise. The previous entry...Black Panther...was, generously, just OK but Av:IW was just awful. This entry was abt an hour too long and way too slow to develop. I had trouble staying awake at times. The final battle scene was OK but the entire movie was dark. I don't mean the theme, I mean the pucture itself was dark. So dark that in some interior scenes it was difficult to see what was going on. Save your time and money.","8"
"BadgerStorm4345","The Best Marvel Movie","20 July 2020","10 Years of Build Up wasn't wasted on this Movie. Infinity War is one of the greatest movies of all time because of how carefully they set everything else up. Stellar character growth and an incredible story make this stand out amongst the rest of Marvel. Thanos is one of the Greatest Movie Villains of all time due to the handling of his character. Everything from the beginning filled with dread of what's To come to the ending where they fulfilled their promise of dread was done perfectly. Infinity War is one of the best action movies ever made.","4"
